cifar10lstm,lce_gp,5,0.4042,0.4742,0.5022,18.0,64.0,111.0,
cifar10lstm,our_gp,5,0.4491,0.5037,0.5037,22.0,77.0,132.0,

cifar10lstm,tpe,5,0.4697,0.4802,0.4807,61.7,217.7,374.0,
cifar10lstm,lce_tpe,5,0.4382,0.4556,0.4556,115.0,405.0,695.0,

cifar10lstm,smac,5,0.5088,0.5332,0.5487,59.5,209.5,360.0,
cifar10lstm,lce_smac,5,0.5194,0.5345,0.5406,102.0,359.0,616.0,


cifar10lstm,random,10,0.455,0.4922,0.512,61.0,214.0,368.0,
cifar10lstm,lce_random,10,0.4774,0.506,0.521,108.0,380.0,653.0,

cifar10lstm,gp,10,0.4851,0.5163,0.539,58.0,204.0,350.0,
cifar10lstm,lce_gp,10,0.3406,0.4462,0.489,18.0,64.0,111.0,
cifar10lstm,our_gp,10,0.3694,0.4751,0.4844,22.0,77.0,132.0,

cifar10lstm,tpe,10,0.4406,0.4636,0.472,61.7,217.7,374.0,
cifar10lstm,lce_tpe,10,0.4175,0.4326,0.4328,115.0,405.0,695.0,

cifar10lstm,smac,10,0.4959,0.526,0.5396,59.5,209.5,360.0,
cifar10lstm,lce_smac,10,0.5099,0.5269,0.5333,102.0,359.0,616.0,



exchange96auto,random,1,0.1891,0.187,0.187,45.0,158.3,272.3,
exchange96auto,msr_random,1,0.1884,0.1884,0.1879,50.0,177.0,305.0,
exchange96auto,our_random,1,0.1873,0.1857,0.1857,48.0,169.0,291.0,

exchange96auto,gp,1,0.1892,0.189,0.1851,42.3,148.3,255.0,
exchange96auto,msr_gp,1,0.1853,0.1853,0.1853,57.0,200.0,343.0,
exchange96auto,our_gp,1,0.1839,0.1839,0.1837,43.0,151.0,259.0,

exchange96auto,tpe,1,0.1898,0.1854,0.1854,55.7,195.0,334.7,
exchange96auto,msr_tpe,1,0.1825,0.1825,0.1825,62.0,218.0,375.0,
exchange96auto,our_tpe,1,0.1819,0.1819,0.1819,38.0,135.0,232.0,

exchange96auto,smac,1,0.1908,0.1833,0.1826,51.0,179.0,307.0,
exchange96auto,msr_smac,1,0.1832,0.1832,0.1805,68.0,240.0,412.0,
exchange96auto,our_smac,1,0.1767,0.1767,0.1767,81.0,283.0,486.0,


